,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,14.0,6.0,2.0,13.0,0.0,13.0,15.0,12.0,3.0,1.0,0.0,1.0,99.0,88.0,4.0,84.0,11.0,3.0,32.0,0.0,6.0,81.0,0.0,15.0,3.0,5.0,0.0,6.0,392.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,15.0,3.0,0.0,12.0,0.0,12.0,8.0,7.0,1.0,5.0,0.0,2.0,71.0,71.0,0.0,71.0,8.0,5.0,31.0,1.0,4.0,62.0,2.0,17.0,4.0,5.0,0.0,6.0,351.0
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,2602.0,1555.0,136.0,871.0,0.0,871.0,1182.0,765.0,417.0,214.0,9.0,629.0,7220.0,16751.0,3051.0,13700.0,3001.0,788.0,5391.0,144.0,872.0,34947.0,420.0,3544.0,2271.0,5791.0,7.0,7400.0,34344.0
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,2525.0,1644.0,165.0,1002.0,0.0,1002.0,1302.0,854.0,448.0,197.0,3.0,648.0,7628.0,19222.0,3544.0,15678.0,2140.0,1050.0,6733.0,155.0,991.0,39839.0,449.0,3799.0,2024.0,7018.0,0.0,8691.0,36385.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,2667.0,1678.0,147.0,946.0,0.0,946.0,1485.0,931.0,554.0,176.0,5.0,660.0,9050.0,23408.0,4521.0,18887.0,2328.0,1099.0,7581.0,318.0,1049.0,41545.0,466.0,4128.0,2286.0,8167.0,5.0,8515.0,39242.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,2579.0,1908.0,163.0,1016.0,0.0,1016.0,1526.0,1030.0,496.0,199.0,2.0,596.0,8457.0,23578.0,5042.0,18536.0,2540.0,898.0,7928.0,175.0,915.0,43335.0,512.0,3817.0,2310.0,8388.0,2.0,11452.0,36460.0
16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,2750.0,1724.0,111.0,935.0,1.0,934.0,1612.0,995.0,617.0,250.0,4.0,794.0,7954.0,23778.0,5465.0,18313.0,2026.0,948.0,7909.0,257.0,967.0,42179.0,443.0,3595.0,2508.0,8696.0,3.0,9973.0,37707.0
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,2766.0,1860.0,123.0,1049.0,1.0,1048.0,2030.0,1329.0,701.0,178.0,3.0,679.0,8304.0,23510.0,5313.0,18197.0,2916.0,1007.0,8363.0,324.0,1012.0,47946.0,519.0,4534.0,2411.0,9164.0,0.0,11489.0,43722.0
18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,2665.0,1885.0,135.0,1070.0,0.0,1070.0,2097.0,1564.0,533.0,170.0,6.0,614.0,7677.0,24391.0,6183.0,18208.0,1998.0,869.0,8103.0,224.0,1176.0,46122.0,613.0,4406.0,3316.0,11335.0,0.0,12629.0,43586.0
19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,2690.0,1942.0,165.0,1257.0,0.0,1257.0,1970.0,1396.0,574.0,110.0,11.0,623.0,8332.0,25362.0,7297.0,18065.0,1930.0,990.0,8393.0,379.0,1021.0,48167.0,556.0,4730.0,3551.0,10306.0,0.0,12861.0,43929.0
20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2449.0,1859.0,134.0,1188.0,0.0,1188.0,1958.0,1526.0,432.0,102.0,27.0,544.0,7772.0,24692.0,7804.0,16888.0,2261.0,904.0,8528.0,461.0,1039.0,44488.0,546.0,5147.0,3520.0,11297.0,0.0,13438.0,48087.0
21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2538.0,1953.0,155.0,1362.0,0.0,1362.0,2053.0,1531.0,522.0,134.0,2.0,550.0,8200.0,26756.0,7422.0,19334.0,2231.0,1130.0,9164.0,186.0,925.0,46777.0,588.0,4634.0,4562.0,12080.0,0.0,14085.0,41373.0
22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,2808.0,2229.0,171.0,1442.0,0.0,1442.0,2154.0,1612.0,542.0,126.0,7.0,600.0,8300.0,28267.0,8966.0,19301.0,2210.0,1174.0,9748.0,224.0,1021.0,54452.0,599.0,4849.0,3658.0,13376.0,0.0,13973.0,38392.0
23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2717.0,2183.0,158.0,1341.0,0.0,1341.0,1870.0,1403.0,467.0,131.0,1.0,668.0,8442.0,27475.0,8036.0,19439.0,1878.0,1271.0,11002.0,260.0,980.0,56768.0,504.0,4816.0,3714.0,13389.0,0.0,13929.0,39025.0
24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,83.0,53.0,3.0,33.0,0.0,33.0,83.0,55.0,28.0,22.0,2.0,84.0,248.0,443.0,36.0,407.0,24.0,41.0,30.0,4.0,13.0,466.0,0.0,78.0,3.0,11.0,0.0,0.0,618.0
